Item Number,Level 1,Level 2,Level 3,Level 4,Level 5,Description Line 1_x,Brand Name,Pack Size,Unit of Measure_x,Priced by Weight,Description Line 2,Description Line 3,Class Name,Special Order,Item Image,On Hand Quantity_x,Item Avg. Weight,Due Date,Unit of Measure_y,Description Line 1_y,On Hand Quantity_y,Quantity Ordered,Open Balance,Expected Date
77051,9.0,8.5,8.35,8.0,7.1,Blueberries Dried,Potenza,25lb,CASE,Y,,,FRUITS,N,,3,25.0,/  /,CASE,Blueberries Dried,3,2.0,2.0,08/08/23
77053,4.65,4.45,4.4,4.3,3.8,Almonds Whole Natural,Potenza,50lb,CASE,Y,,,NUTS,N,,4,50.0,07/25/23,CASE,Almonds Whole Natural,4,6.0,6.0,08/01/23
77060,8.1,7.5,0.0,7.0,6.2,Chorizo Bilbao Semi Cured 10/16oz,La Espanola,10/16oz,CASE,Y,,,MEAT SPANISH,N,,-2,10.0,/  /,CASE,Chorizo Bilbao Semi Cured 10/16oz,-2,16.0,16.0,07/31/23
77061,9.55,9.25,8.09,8.9,7.85,Chorizo Soria,La Espanola,10/3lb,CASE,Y,,,MEAT SPANISH,N,,1,36.0,/  /,CASE,Chorizo Soria,1,4.0,4.0,07/31/23
77062,115.75,114.1,112.5,108.0,95.3,Piparras Basque Green Peppers 1gal,La Espanola,4/1gal,CASE,N,,,VEGETABLES,N,,2,0.0,/  /,CASE,Piparras Basque Green Peppers 1gal,2,2.0,2.0,07/31/23
77068,8.35,0.0,0.0,7.8,6.9,Salchichon De Vic Dry Salami 7/1.5,La Espanola,7/1.5lb,CASE,Y,,,MEAT SPANISH,N,,2,10.0,/  /,CASE,Salchichon De Vic Dry Salami 7/1.5,2,8.0,8.0,07/31/23
77076,14.25,13.3,12.5,11.75,11.1,Serrano 12 Month Boneless,Palacios,12lb,PC.,Y,,,MEAT SPANISH,N,,8,12.0,/  /,PC.,Serrano 12 Month Boneless,8,6.0,6.0,07/31/23
77081,8.75,0.0,0.0,8.15,7.2,Sausage Chistorra Basque Style*,La Espanola,10/1lb,CASE,Y,,,MEAT SPANISH,Y,,0,0.0,/  /,CASE,Sausage Chistorra Basque Style*,0,4.0,4.0,07/31/23
77082,17.55,17.3,17.05,16.4,14.45,Green Chile Powder Mild SM*,Potenza,20oz,PC.,N,,,SPICES,Y,,-1,0.0,07/26/23,PC.,Green Chile Powder Mild SM*,-1,1.0,1.0,07/26/23
77083,8.75,0.0,0.0,8.2,7.2,Blood Sausage Morcilla de Cebolla,La Espanola,10/1lb,CASE,Y,,,MEAT SPANISH,N,,1,10.0,/  /,CASE,Blood Sausage Morcilla de Cebolla,1,2.0,2.0,07/31/23
77087,98.5,97.1,95.75,91.95,81.15,Molasses,Ambrosia,4/1gal,CASE,N,,,PASTRY INGRDNTS,N,,0,0.0,/  /,CASE,Molasses,0,2.0,2.0,07/31/23
77088,4.5,4.3,4.25,4.1,3.6,Dates Medjool,Potenza,15lb,CASE,Y,,,FRUITS,N,,4,16.5,07/26/23,CASE,Dates Medjool,4,18.0,18.0,08/01/23
77088,4.5,4.3,4.25,4.1,3.6,Dates Medjool,Potenza,15lb,CASE,Y,,,FRUITS,N,,4,16.5,07/26/23,CASE,Dates Medjool,4,6.0,6.0,07/26/23
77115,48.9,48.9,47.55,45.65,40.3,Rye Flour Organic,Potenza,25lb,CASE,N,,,FLOUR,N,,6,11.0,07/26/23,CASE,Rye Flour Organic,6,2.0,2.0,07/26/23
77206,3.05,2.75,0.0,2.65,2.35,Petite Crimson Lentils Decorticated,Timeless,25lb,CASE,Y,,,BEANS,N,,8,25.0,/  /,CASE,Lentils Red Crimson Decorticated,8,2.0,2.0,08/15/23
77208,3.4,3.35,3.3,3.15,2.8,Farro Organic,Timeless,25lb,CASE,Y,,,GRAINS,N,,21,25.0,/  /,CASE,Farro Organic,21,4.0,4.0,08/15/23
77222,9.25,0.0,0.0,8.6,7.6,Cantimpalitos*,La Espanola,10/1lb,CASE,Y,,,MEAT SPANISH,Y,,3,0.0,/  /,CASE,Cantimpalitos*,3,1.0,1.0,07/31/23
